Показник,Регіон,Вид_установок,Тип_відходів,Стан_використання,Рік,Одиниця_виміру,Значення
Площа полігонів для видалення відходів,Запорізька,Усього,Усього,По проекту,2025,Квадратний метр,4226339.0
Площа полігонів для видалення відходів,Україна,Не застосовується,Усього,Залишок,2025,Квадратний метр,68947339.0
Площа полігонів для видалення відходів,Запорізька,Усього,у тому числі для видалення побутових відходів,По проекту,2025,Квадратний метр,507407.0
Площа полігонів для видалення відходів,Україна,Не застосовується,у тому числі для видалення побутових відходів,Залишок,2025,Квадратний метр,11680735.0
Площа полігонів для видалення відходів,Миколаївська,Усього,Усього,Залишок,2025,Квадратний метр,404059.0
Площа полігонів для видалення відходів,Донецька,Не застосовується,Усього,Залишок,2025,Квадратний метр,2906995.0
Площа полігонів для видалення відходів,Дніпропетровська,Не застосовується,Усього,По проекту,2025,Квадратний метр,173909323.0
Площа полігонів для видалення відходів,Донецька,Не застосовується,у тому числі для видалення побутових відходів,Залишок,2025,Квадратний метр,2512882.0
Площа полігонів для видалення відходів,Дніпропетровська,Не застосовується,у тому числі для видалення побутових відходів,По проекту,2025,Квадратний метр,1579888.0
Площа полігонів для видалення відходів,Миколаївська,Усього,у тому числі для видалення побутових відходів,Залишок,2025,Квадратний метр,248335.0
Площа полігонів для видалення відходів,Закарпатська,Не застосовується,Усього,Залишок,2025,Квадратний метр,62335.0
Площа полігонів для видалення відходів,Одеська,Не застосовується,у тому числі для видалення побутових відходів,По проекту,2025,Квадратний метр,1075302.0
Площа полігонів для видалення відходів,Одеська,Не застосовується,Усього,По проекту,2025,Квадратний метр,1291502.0
Площа полігонів для видалення відходів,Закарпатська,Не застосовується,у тому числі для видалення побутових відходів,Залишок,2025,Квадратний метр,62335.0
Площа полігонів для видалення відходів,Донецька,Усього,у тому числі для видалення побутових відходів,Залишок,2025,Квадратний метр,2512882.0
Площа полігонів для видалення відходів,Київська,Усього,у тому числі для видалення побутових відходів,Залишок,2025,Квадратний метр,483719.0
Площа полігонів для видалення відходів,Донецька,Усього,Усього,Залишок,2025,Квадратний метр,2906995.0
Площа полігонів для видалення відходів,Запорізька,Не застосовується,у тому числі для видалення побутових відходів,По проекту,2025,Квадратний метр,507407.0
Площа полігонів для видалення відходів,Житомирська,Усього,у тому числі для видалення побутових відходів,По проекту,2025,Квадратний метр,1321250.0
Площа полігонів для видалення відходів,Київська,Усього,Усього,Залишок,2025,Квадратний метр,5292981.0
Площа полігонів для видалення відходів,Миколаївська,Не застосовується,Усього,Залишок,2025,Квадратний метр,404059.0
Площа полігонів для видалення відходів,Вінницька,Усього,у тому числі для видалення побутових відходів,По проекту,2025,Квадратний метр,496756.0
Площа полігонів для видалення відходів,Київська,Не застосовується,Усього,По проекту,2025,Квадратний метр,5829077.0
Площа полігонів для видалення відходів,Закарпатська,Усього,Усього,Залишок,2025,Квадратний метр,62335.0
