Регіон,Кількість полігонів для видалення відходів_Не застосовується,Кількість установок для оброблення відходів_Не застосовується,Об'єм полігонів для видалення відходів_Залишок,Об'єм полігонів для видалення відходів_По проекту,Площа полігонів для видалення відходів_Залишок,Площа полігонів для видалення відходів_По проекту,Потужність установок для оброблення відходів_Не застосовується,Заповненість_обєму_%,Заповненість_площі_%,Середній_обєм_полігону,Середня_потужність_1_установки
Івано-Франківська,114.0,32.0,5593726.0,57228760.0,1153056.0,2536264.0,514322.0,90.22567324541018,54.53722483148442,502006.6666666667,16072.5625
Волинська,148.0,68.0,19986630.0,42396680.0,2018384.0,3700280.0,791020.0,52.858030392945864,45.45320894635001,286464.0540540541,11632.64705882353
Вінницька,62.0,16.0,1473900.0,8401568.0,446656.0,1993024.0,409324.0,82.4568461506233,77.58903053851836,135509.16129032258,25582.75
Дніпропетровська,302.0,60.0,3577704496.0,15678379910.0,63378146.0,350978422.0,8595780.0,77.1806492983496,81.94243804537933,51915165.26490066,143263.0
Донецька,66.0,0.0,171115804.0,3151253298.0,10839754.0,72020200.0,0.0,94.56991273571688,84.94900875032283,47746262.09090909,0.0
Житомирська,326.0,62.0,60561514.0,133989808.0,1513216.0,5698496.0,355874.0,54.80140250667424,73.44534417502443,411011.68098159507,5739.903225806452
Закарпатська,30.0,18.0,2882568.0,19851664.0,249340.0,1264152.0,36844.0,85.4794640892572,80.27610603788152,661722.1333333333,2046.888888888889
Запорізька,20.0,18.0,89731900.0,281923924.0,2828172.0,9467492.0,10326094.0,68.17159085796493,70.12754803489668,14096196.2,573671.8888888889
Київ,44.0,66.0,115345038.0,413303356.0,5515690.0,12406210.0,575072.0,72.09191836322762,55.54089443915588,9393258.090909092,8713.212121212122
Київська,80.0,20.0,15322216.0,161291276.0,11553400.0,13455580.0,115710.0,90.50028223473166,14.136737323846315,2016140.95,5785.5
Кіровоградська,656.0,34.0,21308608.0,48975556.0,6179480.0,11695590.0,36596.0,56.49134029228785,47.16401652246701,74657.85975609756,1076.3529411764705
Луганська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
Львівська,210.0,110.0,48918748.0,876743056.0,2037068.0,24189830.0,1484688.0,94.42040086143551,91.57882465482395,4174966.933333333,13497.163636363637
Миколаївська,110.0,30.0,56844584.0,379317328.0,1304788.0,3918152.0,2153006.0,85.01397647723596,66.69889274331369,3448339.345454545,71766.86666666667
Одеська,218.0,46.0,74269608.0,104294488.0,2868196.0,4733608.0,486144.0,28.788558797086196,39.40782591207383,478415.08256880735,10568.347826086956
Полтавська,192.0,14.0,3587320860.0,5592975952.0,30874522.0,104609492.0,44898.0,35.86024880516061,70.48592684113217,29130083.083333332,3207.0
Рівненська,592.0,60.0,28327578.0,111701518.0,5478372.0,11723524.0,135280.0,74.63993461574981,53.27026242280052,188684.99662162163,2254.6666666666665
Сумська,104.0,30.0,39784220.0,124967098.0,3401464.0,7154372.0,330950.0,68.16424431973287,52.4561484921388,1201606.7115384615,11031.666666666666
Тернопільська,68.0,60.0,3926466.0,7566800.0,583786.0,1742246.0,25672.0,48.109293228313156,66.49233231128096,111276.4705882353,427.8666666666667
Харківська,86.0,64.0,8720902.0,104385866.0,1095016.0,8011236.0,226788.0,91.64551453738,86.33149741188501,1213789.1395348837,3543.5625
Херсонська,10.0,0.0,1507418.0,2522012.0,452604.0,2229704.0,0.0,40.229546885581826,79.70116212734963,252201.2,0.0
Хмельницька,208.0,60.0,24362478.0,68633994.0,2085756.0,5539284.0,3241772.0,64.5037734508063,62.34610826958864,329971.125,54029.53333333333
Черкаська,90.0,34.0,19466746.0,126930624.0,1291300.0,4658660.0,423586.0,84.66347569519552,72.28172908089451,1410340.2666666666,12458.411764705883
Чернівецька,354.0,32.0,4519854.0,10192130.0,2503102.0,5220836.0,21772.0,55.65348950611894,52.05553286868234,28791.32768361582,680.375
Чернігівська,148.0,38.0,5990998.0,19710792.0,1604880.0,7013230.0,28728.0,69.60549327495313,77.11639287460984,133181.02702702704,756.0
